sku_id,category,name,mrp,discountpercent,availablequantity,discountedsellingprice,weightingms,outofstock,quantity
42,Fruits & Vegetables,Coccinia,0.32,15,3,0.27,250,f,250
43,Fruits & Vegetables,Guava,0.54,16,3,0.45,232,f,4
44,Fruits & Vegetables,Apple Washington,1.77,15,3,1.49,232,f,4
45,Fruits & Vegetables,Amla,0.32,15,3,0.27,250,f,250
46,Fruits & Vegetables,Beans Cluster,0.3,16,3,0.25,250,f,250
47,Fruits & Vegetables,Apple Royal Gala,1.89,15,3,1.59,232,f,4
48,Fruits & Vegetables,Chilli Bhaji,0.3,16,3,0.25,250,f,250
49,Fruits & Vegetables,Lettuce Green,0.23,17,3,0.19,100,f,100
50,Fruits & Vegetables,Baby Corn Peeled,0.35,17,3,0.29,250,f,250
51,Fruits & Vegetables,Mixed Sprouts,0.35,17,3,0.29,200,f,200
52,Fruits & Vegetables,Zucchini Green,0.35,17,3,0.29,250,f,250
53,Fruits & Vegetables,Beans Broad,0.42,16,3,0.35,250,f,250
54,Fruits & Vegetables,Raw Banana,0.2,15,6,0.17,500,f,500
55,Fruits & Vegetables,Colocasia ,0.29,17,6,0.24,500,f,500
56,Fruits & Vegetables,Tomato Cherry ,0.35,17,3,0.29,200,f,200
57,Fruits & Vegetables,Sweet Potato ,0.38,15,3,0.32,500,f,500
58,Fruits & Vegetables,Pineapple Slice,0.89,15,3,0.75,200,f,200
59,Fruits & Vegetables,Orange,0.54,16,3,0.45,116,f,2
60,Fruits & Vegetables,Dragon Fruit Imported,0.7,15,3,0.59,58,f,1
61,Fruits & Vegetables,Zucchini Yellow,0.42,16,3,0.35,250,f,500
62,Fruits & Vegetables,Apple Kinnaur,1.42,16,6,1.19,232,f,4
63,Fruits & Vegetables,Pineapple,0.94,15,3,0.79,58,f,1
64,Fruits & Vegetables,Basil,0.2,15,3,0.17,100,f,100
65,Fruits & Vegetables,Parsley,0.17,17,3,0.14,100,f,100
66,Fruits & Vegetables,Ridge Gourd,0.3,16,3,0.25,500,f,500
67,Fruits & Vegetables,Papaya Cut,0.46,15,3,0.39,200,f,200
68,Fruits & Vegetables,Pomegranate Peeled,0.58,15,2,0.49,100,f,100
69,Fruits & Vegetables,Pear Green Imported,0.82,15,3,0.69,116,f,2
70,Fruits & Vegetables,Guava Thai,0.7,15,3,0.59,116,f,2
71,Fruits & Vegetables,Lettuce Red,0.2,15,3,0.17,100,f,100
72,Fruits & Vegetables,Mango Raw,0.6,16,3,0.5,500,f,500
73,Fruits & Vegetables,Biryani /Pulav Mix,0.58,15,3,0.49,250,f,250
74,Fruits & Vegetables,Banana Nendran,0.54,16,6,0.45,500,f,500
75,Fruits & Vegetables,Pumpkin Cut,0.3,16,3,0.25,200,f,200
76,Fruits & Vegetables,Banana Red,0.54,16,6,0.45,500,f,500
77,Fruits & Vegetables,Radish White,0.23,17,6,0.19,500,f,500
78,Fruits & Vegetables,Avocado Indian Premium,1.77,15,3,1.49,58,f,1
79,Fruits & Vegetables,Banana Leaf,0.12,16,2,0.1,58,f,1
80,Fruits & Vegetables,Sponge Gourd,0.25,16,2,0.21,300,f,300
81,Fruits & Vegetables,Zama Organics Carrot,0.2,15,3,0.17,250,f,250
82,Fruits & Vegetables,Safal Frozen - Mixed Vegetables,1.1,4,2,1.05,1000,f,1
83,Fruits & Vegetables,Zama Organics Sweet Potato,0.37,16,3,0.31,250,f,250
84,Fruits & Vegetables,Beetroot,0.16,18,3,0.13,500,f,500
85,Fruits & Vegetables,Capsicum,0.26,19,3,0.21,500,f,500
86,Fruits & Vegetables,Carrot,0.19,21,3,0.15,500,f,500
87,Fruits & Vegetables,Garlic,0.17,23,3,0.13,200,f,200
